srr_accession	srx_accession	srs_accession	srp_accession	bioproject	organism	strain	platform	instrument	total_bases	total_spots	library_strategy	library_source	library_layout	title
SRR3721802	SRX1879623	SRS1526676	SRP077273	PRJNA214302	Brevibacillus thermoruber PM1	PM1	PACBIO_SMRT	PacBio RS	248730671	105858	WGS	GENOMIC	SINGLE	Brevibacillus thermoruber PM1
SRR3721801	SRX1879622	SRS1526675	SRP077272	PRJNA214267	Pseudacidobacterium ailaaui	PMMR2	PACBIO_SMRT	PacBio RS	487161314	159159	WGS	GENOMIC	SINGLE	Acidobacterium sp. PMMR2
SRR3721800	SRX1879621	SRS1526675	SRP077272	PRJNA214267	Pseudacidobacterium ailaaui	PMMR2	PACBIO_SMRT	PacBio RS	544106103	152743	WGS	GENOMIC	SINGLE	Acidobacterium sp. PMMR2
SRR3721747	SRX1879598	SRS1526656	SRP077267	PRJNA195774	Cupriavidus necator A5-1	A5-1	PACBIO_SMRT	PacBio RS	224932151	99855	WGS	GENOMIC	SINGLE	Cupriavidus necator A5-1
SRR3721746	SRX1879597	SRS1526656	SRP077267	PRJNA195774	Cupriavidus necator A5-1	A5-1	PACBIO_SMRT	PacBio RS	256357221	113248	WGS	GENOMIC	SINGLE	Cupriavidus necator A5-1
SRR3721745	SRX1879596	SRS1526656	SRP077267	PRJNA195774	Cupriavidus necator A5-1	A5-1	PACBIO_SMRT	PacBio RS	219449840	91064	WGS	GENOMIC	SINGLE	Cupriavidus necator A5-1
SRR3721668	SRX1879525	SRS1526591	SRP077263	PRJNA195644	Polaromonas sp. EUR3 1.2.1	EUR3 1.2.1	PACBIO_SMRT	PacBio RS	203690883	49470	WGS	GENOMIC	SINGLE	Polaromonas sp. EUR3 1.2.1
SRR3721667	SRX1879524	SRS1526591	SRP077263	PRJNA195644	Polaromonas sp. EUR3 1.2.1	EUR3 1.2.1	PACBIO_SMRT	PacBio RS	328568730	74626	WGS	GENOMIC	SINGLE	Polaromonas sp. EUR3 1.2.1
SRR3721666	SRX1879523	SRS1526591	SRP077263	PRJNA195644	Polaromonas sp. EUR3 1.2.1	EUR3 1.2.1	PACBIO_SMRT	PacBio RS	266613241	65355	WGS	GENOMIC	SINGLE	Polaromonas sp. EUR3 1.2.1
SRR3721662	SRX1879519	SRS1526588	SRP077262	PRJNA215345	Desulfohalovibrio reitneri	L21-Syr-AB	PACBIO_SMRT	PacBio RS	267065615	100782	WGS	GENOMIC	SINGLE	Desulfovibrio sp. L21-Syr-AB
SRR3721661	SRX1879518	SRS1526588	SRP077262	PRJNA215345	Desulfohalovibrio reitneri	L21-Syr-AB	PACBIO_SMRT	PacBio RS	302352820	109772	WGS	GENOMIC	SINGLE	Desulfovibrio sp. L21-Syr-AB
SRR3721644	SRX1879504	SRS1526587	SRP077261	PRJNA195768	Psychrobacter muriicola 2pS	2pS	PACBIO_SMRT	PacBio RS	310075204	143049	WGS	GENOMIC	SINGLE	Psychrobacter muriicola 2pS
SRR3721643	SRX1879503	SRS1526587	SRP077261	PRJNA195768	Psychrobacter muriicola 2pS	2pS	PACBIO_SMRT	PacBio RS	328823434	150253	WGS	GENOMIC	SINGLE	Psychrobacter muriicola 2pS
SRR3721642	SRX1879502	SRS1526587	SRP077261	PRJNA195768	Psychrobacter muriicola 2pS	2pS	PACBIO_SMRT	PacBio RS	402717788	184306	WGS	GENOMIC	SINGLE	Psychrobacter muriicola 2pS
SRR3721641	SRX1879501	SRS1526587	SRP077261	PRJNA195768	Psychrobacter muriicola 2pS	2pS	PACBIO_SMRT	PacBio RS	25248782	11075	WGS	GENOMIC	SINGLE	Psychrobacter muriicola 2pS
SRR3714172	SRX1873593	SRS1523544	SRP077022	PRJNA186466	Desulfovibrio sp. DMSS-1	DMSS-1	PACBIO_SMRT	PacBio RS	235776416	78042	WGS	GENOMIC	SINGLE	Desulfovibrio glucosivorans DMSS-1
SRR3714171	SRX1873592	SRS1523544	SRP077022	PRJNA186466	Desulfovibrio sp. DMSS-1	DMSS-1	PACBIO_SMRT	PacBio RS	242755091	70445	WGS	GENOMIC	SINGLE	Desulfovibrio glucosivorans DMSS-1
SRR3712192	SRX1871978	SRS1522217	SRP076971	PRJNA223102	Bacillus sp. 72	72	PACBIO_SMRT	PacBio RS	165787352	61884	WGS	GENOMIC	SINGLE	Bacillus sp. 72
