srr_accession	srx_accession	srs_accession	srp_accession	bioproject	organism	strain	platform	instrument	total_bases	total_spots	library_strategy	library_source	library_layout	title
SRR37198692	SRX32135528	SRS28068076	SRP676353	PRJNA1417596	Rhodococcus aetherivorans	m3-23	PACBIO_SMRT	Sequel IIe	305685369	22090	WGS	GENOMIC	SINGLE	Long read sequencing of Rhodococcus aetherivorans m3-23
SRR37163259	SRX32103020	SRS28036666	SRP605695	PRJNA1299619	Modicisalibacter xianhensis	HN-1-3-2	PACBIO_SMRT	Sequel II	407824214	49723	WGS	GENOMIC	SINGLE	HN-1-3-2 long read
SRR37136209	SRX32078212	SRS28013657	SRP675042	PRJNA1171741	Bacillus amyloliquefaciens	YN-J3	PACBIO_SMRT	Sequel IIe	3484386738	277451	WGS	GENOMIC	SINGLE	PacBio sequencing of Bacillus amyloliquefaciens Ba. YN. J3
DRR905085	DRX882869	DRS651941	DRP017058	PRJDB35689	Ktedonobacterales bacterium Z4_9	Z4_9	PACBIO_SMRT	Revio	249381047	32458	WGS	GENOMIC	SINGLE	Revio sequencing of SAMD01789997
DRR905084	DRX882868	DRS651940	DRP017058	PRJDB35689	Dictyobacter sp. Z7_2	Z7_2	PACBIO_SMRT	Revio	248329452	32439	WGS	GENOMIC	SINGLE	Revio sequencing of SAMD01789996
SRR37106155	SRX32052322	SRS27989733	SRP674509	PRJNA1395651	Escherichia coli	GPEC1068	PACBIO_SMRT	Sequel II	675900096	74932	WGS	GENOMIC	SINGLE	WGS APEC1068
SRR37102299	SRX32048556	SRS27985987	SRP674509	PRJNA1395651	Escherichia coli	GPEC1042	PACBIO_SMRT	Sequel II	267690423	26574	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102300	SRX32048555	SRS27985986	SRP674509	PRJNA1395651	Escherichia coli	GPEC1031	PACBIO_SMRT	Sequel II	861380343	96687	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102301	SRX32048554	SRS27985985	SRP674509	PRJNA1395651	Escherichia coli	GPEC874	PACBIO_SMRT	Sequel II	259392456	26923	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102302	SRX32048553	SRS27985984	SRP674509	PRJNA1395651	Escherichia coli	GPEC755	PACBIO_SMRT	Sequel II	382339628	37188	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102306	SRX32048552	SRS27985983	SRP674509	PRJNA1395651	Escherichia coli	GPEC709	PACBIO_SMRT	Sequel II	275498001	31327	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102303	SRX32048551	SRS27985982	SRP674509	PRJNA1395651	Escherichia coli	GPEC617	PACBIO_SMRT	Sequel II	318521976	36504	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102304	SRX32048550	SRS27985981	SRP674509	PRJNA1395651	Escherichia coli	GPEC548	PACBIO_SMRT	Sequel II	299485364	34151	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102305	SRX32048549	SRS27985980	SRP674509	PRJNA1395651	Escherichia coli	GPEC172	PACBIO_SMRT	Sequel II	799032942	82420	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102307	SRX32048548	SRS27985979	SRP674509	PRJNA1395651	Escherichia coli	GPEC1446	PACBIO_SMRT	Sequel II	341244438	36224	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102308	SRX32048547	SRS27985978	SRP674509	PRJNA1395651	Escherichia coli	GPEC1354	PACBIO_SMRT	Sequel II	408111018	40504	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102309	SRX32048546	SRS27985978	SRP674509	PRJNA1395651	Escherichia coli	GPEC1354	PACBIO_SMRT	Sequel II	399991488	44157	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102310	SRX32048545	SRS27985977	SRP674509	PRJNA1395651	Escherichia coli	GPEC1352	PACBIO_SMRT	Sequel II	276025900	28730	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102314	SRX32048544	SRS27985976	SRP674509	PRJNA1395651	Escherichia coli	GPEC1292	PACBIO_SMRT	Sequel II	398755493	41201	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102311	SRX32048543	SRS27985975	SRP674509	PRJNA1395651	Escherichia coli	GPEC1258	PACBIO_SMRT	Sequel II	507931891	52296	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102312	SRX32048542	SRS27985974	SRP674509	PRJNA1395651	Escherichia coli	GPEC1240	PACBIO_SMRT	Sequel II	656240798	72428	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102313	SRX32048541	SRS27985973	SRP674509	PRJNA1395651	Escherichia coli	GPEC1201	PACBIO_SMRT	Sequel II	280706180	28647	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102315	SRX32048540	SRS27985972	SRP674509	PRJNA1395651	Escherichia coli	GPEC1189	PACBIO_SMRT	Sequel II	279370373	30791	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102316	SRX32048539	SRS27985971	SRP674509	PRJNA1395651	Escherichia coli	GPEC1165	PACBIO_SMRT	Sequel II	277902873	28500	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102317	SRX32048538	SRS27985970	SRP674509	PRJNA1395651	Escherichia coli	GPEC102	PACBIO_SMRT	Sequel II	1357716293	140532	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102318	SRX32048537	SRS27985969	SRP674509	PRJNA1395651	Escherichia coli	GPEC36	PACBIO_SMRT	Sequel II	950722851	91750	WGS	GENOMIC	SINGLE	WGS of APEC from GA
DRR462667	DRX446926	DRS650060	DRP017049	PRJDB13158	Azotobacter tropicalis	OH-2020	PACBIO_SMRT	PacBio RS II	1271493308	143977	WGS	GENOMIC	SINGLE	PacBio RS II sequencing of SAMD00553002
SRR37072457	SRX32018833	SRS26854155	SRP632826	PRJNA1335940	Roseomonas sp. WA12	WA12	PACBIO_SMRT	Sequel IIe	611914677	53039	WGS	GENOMIC	SINGLE	Complete genome sequence of Roseomonas sp. WA12 isolated from the rhizosphere of Artemisia ordosica
DRR902766	DRX880551	DRS650027	DRP017042	PRJDB40238	Staphylococcus capitis	13-29	PACBIO_SMRT	PacBio RS II	3502708964	163482	WGS	GENOMIC	SINGLE	PacBio RS II sequencing of SAMD01814116
DRR902767	DRX880552	DRS650028	DRP017043	PRJDB40243	Staphylococcus epidermidis	33-2	PACBIO_SMRT	PacBio RS II	3812261045	163482	WGS	GENOMIC	SINGLE	PacBio RS II sequencing of SAMD01815340
SRR36804894	SRX31791011	SRS26913153	SRP637065	PRJNA1264549	Paenarthrobacter nicotinovorans	FJ15	PACBIO_SMRT	Revio	2385168807	144114	WGS	GENOMIC	SINGLE	PacBio Library of Paenarthrobacter nicotinovorans FJ15
SRR36223761	SRX31259811	SRS27017809	SRP642991	PRJNA695104	Pseudomonas sp. AF1	AF1	PACBIO_SMRT	Revio	902438164	4645569	WGS	GENOMIC	PAIRED	Whole-genome sequencing of Enterobacter cloacae I4
SRR35986575	SRX31035865	SRS27025772	SRP643617	PRJNA816151	Enterobacter sp. I4	I4	PACBIO_SMRT	Revio	65914697	9614	WGS	GENOMIC	SINGLE	Whole-genome sequencing of Enterobacter cloacae I4
SRR36990770	SRX31940601	SRS27886939	SRP567135	PRJNA1230211	Leuconostoc mesenteroides	Leuconostoc mesenteroides CIM 3004	PACBIO_SMRT	Revio	1319805000	4399350	WGS	GENOMIC	PAIRED	Leuconostoc mesenteroides CIM 3004 strain
DRR900855	DRX878676	DRS648449	DRP016993	PRJDB16722	Acinetobacter baumannii	ATCC_19606_MD_Wt	PACBIO_SMRT	Sequel II	859684718	592471	WGS	GENOMIC	SINGLE	Sequel II sequencing of SAMD01797831
DRR900854	DRX878675	DRS648448	DRP016993	PRJDB16722	Acinetobacter baumannii	ATCC_19606_MD_S-6	PACBIO_SMRT	Sequel II	883705382	612537	WGS	GENOMIC	SINGLE	Sequel II sequencing of SAMD01797830
DRR900853	DRX878674	DRS648447	DRP016993	PRJDB16722	Acinetobacter baumannii	ATCC_19606_MD_S-5	PACBIO_SMRT	Sequel II	905153909	627689	WGS	GENOMIC	SINGLE	Sequel II sequencing of SAMD01797829
DRR900852	DRX878673	DRS648446	DRP016993	PRJDB16722	Acinetobacter baumannii	ATCC_19606_MD_S-4	PACBIO_SMRT	Sequel II	735041381	511623	WGS	GENOMIC	SINGLE	Sequel II sequencing of SAMD01797828
DRR900851	DRX878672	DRS648445	DRP016993	PRJDB16722	Acinetobacter baumannii	ATCC_19606_MD_S-3	PACBIO_SMRT	Sequel II	1038328721	714686	WGS	GENOMIC	SINGLE	Sequel II sequencing of SAMD01797827
DRR900850	DRX878671	DRS648444	DRP016993	PRJDB16722	Acinetobacter baumannii	ATCC_19606_MD_S-2	PACBIO_SMRT	Sequel II	698244316	503543	WGS	GENOMIC	SINGLE	Sequel II sequencing of SAMD01797826
DRR900849	DRX878670	DRS648443	DRP016993	PRJDB16722	Acinetobacter baumannii	ATCC_19606_MD_S-1	PACBIO_SMRT	Sequel II	877202746	607627	WGS	GENOMIC	SINGLE	Sequel II sequencing of SAMD01797825
SRR36804961	SRX31791074	SRS26514708	SRP620350	PRJNA1313450	Rhodococcus qingshengii	FJ5	PACBIO_SMRT	Revio	2142237803	147977	WGS	GENOMIC	SINGLE	PacBio Library of Rhodococcus qingshengii  FJ5
SRR36930821	SRX31897143	SRS27849301	SRP665485	PRJNA1406442	Enterobacter mori	GZ-49	PACBIO_SMRT	Sequel IIe	69642686	11330	WGS	GENOMIC	SINGLE	PacBio sequencing of GZ-49
SRR36909892	SRX31880213	SRS27835269	SRP665143	PRJNA1406125	Flavobacterium omnivorum	1.2747	PACBIO_SMRT	PacBio RS	503513224	54494	WGS	GENOMIC	SINGLE	WGS of Flavobacterium omnivorum 1.2747
ERR16097497	ERX15487272	ERS26050525	ERP178906	PRJEB96157	Klebsiella pneumoniae		PACBIO_SMRT	Sequel IIe	91875915	9363	WGS	GENOMIC	SINGLE	Sequel IIe sequencing
ERR16086370	ERX15476158	ERS26050528	ERP178906	PRJEB96157	Klebsiella pneumoniae		PACBIO_SMRT	Sequel IIe	79135869	6196	WGS	GENOMIC	SINGLE	Sequel IIe sequencing
ERR16097487	ERX15487262	ERS26050528	ERP178906	PRJEB96157	Klebsiella pneumoniae		PACBIO_SMRT	Sequel IIe	79135869	6196	WGS	GENOMIC	SINGLE	Sequel IIe sequencing
ERR16086379	ERX15476167	ERS26050525	ERP178906	PRJEB96157	Klebsiella pneumoniae		PACBIO_SMRT	Sequel IIe	91875915	9363	WGS	GENOMIC	SINGLE	Sequel IIe sequencing
SRR36895259	SRX31866721	SRS27822476	SRP664722	PRJNA1180067	Rickettsia sp. 109562A South Dakota	109562A South Dakota	PACBIO_SMRT	Sequel II	457050664	171397	WGS	GENOMIC	SINGLE	PacBio sequencing of Rickettsia philipiorum
SRR36882580	SRX31854304	SRS27811265	SRP664413	PRJNA1094439	Pseudomonas soli	0617-T307	PACBIO_SMRT	PacBio RS	773275021	244344	WGS	GENOMIC	SINGLE	Seq1
SRR36877252	SRX31848977	SRS27805900	SRP664196	PRJNA1054745	Sedimentibacter sp. MB31-C6	MB31-C6	PACBIO_SMRT	Sequel II	336259232	48609	WGS	GENOMIC	SINGLE	Whole genome sequencing of Sedimentibacter sp. MB31-C6
SRR36863708	SRX31836078	SRS27793259	SRP663212	PRJNA1127823	Streptococcus sp. KHUD_012	KHUD_012	PACBIO_SMRT	Sequel IIe	1330577490	144821	WGS	GENOMIC	SINGLE	Streptococcus sp. KHUD_012
SRR36863481	SRX31835851	SRS27793052	SRP663199	PRJNA1244035	Streptococcus sp. KHUD_013	KHUD_013	PACBIO_SMRT	Revio	622931681	89500	WGS	GENOMIC	SINGLE	KHUD_013
SRR36863141	SRX31835656	SRS27792860	SRP663193	PRJNA1403214	Bacillus velezensis	T8	PACBIO_SMRT	Sequel	1204363567	198314	WGS	GENOMIC	SINGLE	WGS of Bacillus velezensis:T8
DRR899707	DRX877532	DRS646945	DRP016950	PRJDB40113	Labrys sp. Lb11	Lb11	PACBIO_SMRT	Revio	247601508	34639	WGS	GENOMIC	SINGLE	Revio sequencing of SAMD01797006
SRR36806333	SRX31792445	SRS27752187	SRP661829	PRJNA1400751	Lacticaseibacillus paracasei	NIBL1583	PACBIO_SMRT	Sequel IIe	1106894445	118032	WGS	GENOMIC	SINGLE	Lacticaseibacillus paracasei Genome sequencing and assembly
ERR16090425	ERX15480260	ERS28454301	ERP183034	PRJEB101632	Arthrobacter sp. Z4-13		PACBIO_SMRT	Sequel	185697120	15610	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090433	ERX15480268	ERS28454309	ERP183034	PRJEB101632	Bacillus subtilis		PACBIO_SMRT	Sequel	169228560	14228	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090428	ERX15480263	ERS28454304	ERP183034	PRJEB101632	Phytopseudomonas seleniipraecipitans		PACBIO_SMRT	Sequel	187411040	15786	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090424	ERX15480259	ERS28454300	ERP183034	PRJEB101632	Arthrobacter sp. Z1-9		PACBIO_SMRT	Sequel	183775440	15466	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090421	ERX15480256	ERS28454297	ERP183034	PRJEB101632	Pseudomonas sp. R4-76		PACBIO_SMRT	Sequel	247023720	20795	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090443	ERX15480278	ERS28454319	ERP183034	PRJEB101632	Peribacillus frigoritolerans		PACBIO_SMRT	Sequel	219571280	18476	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090429	ERX15480264	ERS28454305	ERP183034	PRJEB101632	Phytopseudomonas seleniipraecipitans		PACBIO_SMRT	Sequel	183944480	15489	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090434	ERX15480269	ERS28454310	ERP183034	PRJEB101632	Pseudomonas asiatica		PACBIO_SMRT	Sequel	242824960	20452	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090423	ERX15480258	ERS28454299	ERP183034	PRJEB101632	Arthrobacter sp. Z1-15		PACBIO_SMRT	Sequel	162557640	13658	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090419	ERX15480254	ERS28454295	ERP183034	PRJEB101632	Kushneria sp. AK266		PACBIO_SMRT	Sequel	131904920	11125	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090436	ERX15480271	ERS28454312	ERP183034	PRJEB101632	Staphylococcus saprophyticus		PACBIO_SMRT	Sequel	108382080	9127	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090440	ERX15480275	ERS28454316	ERP183034	PRJEB101632	Bacillus paralicheniformis		PACBIO_SMRT	Sequel	176934640	14893	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090427	ERX15480262	ERS28454303	ERP183034	PRJEB101632	Rhizobium sp. PK7-22		PACBIO_SMRT	Sequel	195297520	16441	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090435	ERX15480270	ERS28454311	ERP183034	PRJEB101632	Ralstonia holmesii		PACBIO_SMRT	Sequel	225242520	18936	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090426	ERX15480261	ERS28454302	ERP183034	PRJEB101632	Arthrobacter sp. Z5-13		PACBIO_SMRT	Sequel	184459320	15533	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090438	ERX15480273	ERS28454314	ERP183034	PRJEB101632	Priestia endophytica		PACBIO_SMRT	Sequel	207636207	17480	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090439	ERX15480274	ERS28454315	ERP183034	PRJEB101632	Priestia endophytica		PACBIO_SMRT	Sequel	207844280	17507	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090444	ERX15480279	ERS28454320	ERP183034	PRJEB101632	Pseudomonas luteola		PACBIO_SMRT	Sequel	211072920	17748	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090430	ERX15480265	ERS28454306	ERP183034	PRJEB101632	Siccibacter turicensis		PACBIO_SMRT	Sequel	166171160	13969	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090442	ERX15480277	ERS28454318	ERP183034	PRJEB101632	Sinorhizobium meliloti		PACBIO_SMRT	Sequel	273523880	22992	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090420	ERX15480255	ERS28454296	ERP183034	PRJEB101632	Pseudomonas sp. R3-58		PACBIO_SMRT	Sequel	177063040	14912	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090437	ERX15480272	ERS28454313	ERP183034	PRJEB101632	Bacillus cereus		PACBIO_SMRT	Sequel	234775880	19790	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090422	ERX15480257	ERS28454298	ERP183034	PRJEB101632	Arthrobacter sp. R4-81		PACBIO_SMRT	Sequel	178992240	15068	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090432	ERX15480267	ERS28454308	ERP183034	PRJEB101632	Bacillus cereus		PACBIO_SMRT	Sequel	227707280	19179	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090441	ERX15480276	ERS28454317	ERP183034	PRJEB101632	Bacillus cereus		PACBIO_SMRT	Sequel	226700720	19039	WGS	GENOMIC	SINGLE	Sequel sequencing
ERR16090431	ERX15480266	ERS28454307	ERP183034	PRJEB101632	Rhizobium rosettiformans		PACBIO_SMRT	Sequel	190463120	16026	WGS	GENOMIC	SINGLE	Sequel sequencing
SRR36748701	SRX31747735	SRS27714877	SRP660947	PRJNA1398957	Pediococcus acidilactici	MBEL10321	PACBIO_SMRT	Sequel IIe	3523536680	11667340	WGS	GENOMIC	PAIRED	Whole genome sequencing of Pediococcus acidilactici MBEL10321
SRR36699693	SRX31707477	SRS27677560	SRP660210	PRJNA1161424	Streptomyces sp. AM6-12	AM6-12	PACBIO_SMRT	Sequel II	142825645	60669	WGS	GENOMIC	SINGLE	Streptomyces sp. AM6-12
SRR36721169	SRX31725493	SRS27694144	SRP660574	PRJNA1397991	Paenibacillus sp. strain BS8-2	BS8-2	PACBIO_SMRT	Revio	2453912141	428482	WGS	GENOMIC	SINGLE	WGS of paenibacillus: strain BS8-2
SRR36719412	SRX31723736	SRS27692423	SRP660545	PRJNA1398980	Roseibium sp. M-1	M-1	PACBIO_SMRT	Revio	247803810	18023	WGS	GENOMIC	SINGLE	PacBio Revio sequencing of Roseibium sp. strain M-1
SRR36719410	SRX31723734	SRS27692421	SRP660543	PRJNA1398983	Pseudomonas aeruginosa	KK6	PACBIO_SMRT	Revio	246118960	26337	WGS	GENOMIC	SINGLE	PacBio Revio sequencing of Pseudomonas aeruginosa strain KK6
SRR36718677	SRX31723001	SRS27691629	SRP660516	PRJNA1399081	Dehalococcoides mccartyi	Y2	PACBIO_SMRT	PacBio RS	1263785400	4212618	WGS	GENOMIC	PAIRED	Dehalococcoides mccartyi strain Y2
SRR36696850	SRX31704656	SRS27674967	SRP660131	PRJNA1398027	Stutzerimonas sp. KH-1	KH-1	PACBIO_SMRT	Revio	248546374	16769	WGS	GENOMIC	SINGLE	PacBio Revio sequencing of Stutzerimonas sp. KH-1
SRR36669772	SRX31680551	SRS27652126	SRP659563	PRJNA1397519	Clostridium sp. X	X	PACBIO_SMRT	PacBio RS II	1260768870	132437	WGS	GENOMIC	PAIRED	Clostridium sp. LXC-2021 WGS
SRR36664837	SRX31675616	SRS27647612	SRP659015	PRJNA1383263	Escherichia coli	N69	PACBIO_SMRT	Sequel II	226730543	27138	WGS	GENOMIC	SINGLE	WGS of NMEC
ERR15732399	ERX15137527	ERS27093555	ERP182414	PRJEB100987	Xanthomonas oryzae pv. oryzae	CIX627	PACBIO_SMRT	PacBio RS II	1008699493	194590	WGS	GENOMIC	SINGLE	PACBIO_SMRT PacBio RS II sequencing; CIX627 WGS GENOMIC
ERR15732402	ERX15137530	ERS27093512	ERP182414	PRJEB100987	Xanthomonas oryzae pv. oryzae	CIX3037	PACBIO_SMRT	PacBio RS II	1203757167	224782	WGS	GENOMIC	SINGLE	PACBIO_SMRT PacBio RS II sequencing; CIX3037 WGS GENOMIC
ERR15732400	ERX15137528	ERS27093556	ERP182414	PRJEB100987	Xanthomonas oryzae pv. oryzae	CIX705	PACBIO_SMRT	PacBio RS II	1259781523	228169	WGS	GENOMIC	SINGLE	PACBIO_SMRT PacBio RS II sequencing; CIX705 WGS GENOMIC
ERR15732401	ERX15137529	ERS27093515	ERP182414	PRJEB100987	Xanthomonas oryzae pv. oryzae	CIX3007	PACBIO_SMRT	PacBio RS II	973900649	186319	WGS	GENOMIC	SINGLE	PACBIO_SMRT PacBio RS II sequencing; CIX3007 WGS GENOMIC
SRR36648541	SRX31660384	SRS27634214	SRP637125	PRJNA1348869	Rothia mucilaginosa	BNCC363031	PACBIO_SMRT	Revio	113590820	7704	WGS	GENOMIC	SINGLE	PacBio HiFi whole genome sequencing of Rothia mucilaginosa BNCC363031
SRR36640868	SRX31652886	SRS27626819	SRP659015	PRJNA1383263	Escherichia coli	N33	PACBIO_SMRT	Sequel II	152913771	17154	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640869	SRX31652885	SRS27626818	SRP659015	PRJNA1383263	Escherichia coli	N32	PACBIO_SMRT	Sequel II	201149564	22583	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640870	SRX31652884	SRS27626817	SRP659015	PRJNA1383263	Escherichia coli	N31	PACBIO_SMRT	Sequel II	303979223	33575	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640871	SRX31652883	SRS27626816	SRP659015	PRJNA1383263	Escherichia coli	N25	PACBIO_SMRT	Sequel II	211714987	25576	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640875	SRX31652882	SRS27626815	SRP659015	PRJNA1383263	Escherichia coli	N24	PACBIO_SMRT	Sequel II	408889493	43835	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640872	SRX31652881	SRS27626814	SRP659015	PRJNA1383263	Escherichia coli	N21	PACBIO_SMRT	Sequel II	311797506	36053	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640873	SRX31652880	SRS27626813	SRP659015	PRJNA1383263	Escherichia coli	N17	PACBIO_SMRT	Sequel II	215820947	24399	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640874	SRX31652879	SRS27626812	SRP659015	PRJNA1383263	Escherichia coli	N9	PACBIO_SMRT	Sequel II	256397961	27888	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640876	SRX31652878	SRS27626811	SRP659015	PRJNA1383263	Escherichia coli	N68	PACBIO_SMRT	Sequel II	166029191	20374	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640877	SRX31652877	SRS27626810	SRP659015	PRJNA1383263	Escherichia coli	N66	PACBIO_SMRT	Sequel II	109632387	14213	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640878	SRX31652876	SRS27626809	SRP659015	PRJNA1383263	Escherichia coli	N64	PACBIO_SMRT	Sequel II	222854610	27579	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640879	SRX31652875	SRS27626808	SRP659015	PRJNA1383263	Escherichia coli	N63	PACBIO_SMRT	Sequel II	141908152	17930	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640883	SRX31652874	SRS27626807	SRP659015	PRJNA1383263	Escherichia coli	N62	PACBIO_SMRT	Sequel II	193577152	22725	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640880	SRX31652873	SRS27626806	SRP659015	PRJNA1383263	Escherichia coli	N61	PACBIO_SMRT	Sequel II	123830306	15356	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640881	SRX31652872	SRS27626805	SRP659015	PRJNA1383263	Escherichia coli	N58	PACBIO_SMRT	Sequel II	387849523	44405	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640882	SRX31652871	SRS27626804	SRP659015	PRJNA1383263	Escherichia coli	N12	PACBIO_SMRT	Sequel II	234736152	26942	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640884	SRX31652870	SRS27626803	SRP659015	PRJNA1383263	Escherichia coli	N56	PACBIO_SMRT	Sequel II	186225970	23131	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640885	SRX31652869	SRS27626802	SRP659015	PRJNA1383263	Escherichia coli	N54	PACBIO_SMRT	Sequel II	186409647	22736	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640886	SRX31652868	SRS27626801	SRP659015	PRJNA1383263	Escherichia coli	N53	PACBIO_SMRT	Sequel II	183696978	22866	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640887	SRX31652867	SRS27626800	SRP659015	PRJNA1383263	Escherichia coli	N51	PACBIO_SMRT	Sequel II	168852048	20559	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640891	SRX31652866	SRS27626799	SRP659015	PRJNA1383263	Escherichia coli	N50	PACBIO_SMRT	Sequel II	254745298	28135	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640888	SRX31652865	SRS27626798	SRP659015	PRJNA1383263	Escherichia coli	N48	PACBIO_SMRT	Sequel II	141079320	17320	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640889	SRX31652864	SRS27626797	SRP659015	PRJNA1383263	Escherichia coli	N47	PACBIO_SMRT	Sequel II	252847585	29365	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640890	SRX31652863	SRS27626796	SRP659015	PRJNA1383263	Escherichia coli	N44	PACBIO_SMRT	Sequel II	191101537	22926	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640892	SRX31652862	SRS27626795	SRP659015	PRJNA1383263	Escherichia coli	N41	PACBIO_SMRT	Sequel II	130208305	16470	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640893	SRX31652861	SRS27626794	SRP659015	PRJNA1383263	Escherichia coli	N39	PACBIO_SMRT	Sequel II	157871863	19150	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640894	SRX31652860	SRS27626793	SRP659015	PRJNA1383263	Escherichia coli	N10	PACBIO_SMRT	Sequel II	349350019	41071	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR36640895	SRX31652859	SRS27626792	SRP659015	PRJNA1383263	Escherichia coli	N1	PACBIO_SMRT	Sequel II	157490163	19236	WGS	GENOMIC	SINGLE	WGS of NMEC
SRR35975359	SRX31024649	SRS26670489	SRP625640	PRJNA1333526	Syntrophomonas wolfei subsp. methylbutyratica	SM1	PACBIO_SMRT	PacBio RS II	356208330	41865	WGS	GENOMIC	SINGLE	Syntrophomonas wolfei subsp. methylbutyratica Complete Genome
SRR36608464	SRX31621078	SRS27596401	SRP658200	PRJNA1051969	Mesomycoplasma ovipneumoniae	GH 3-3	PACBIO_SMRT	PacBio RS II	275520175	20302	WGS	GENOMIC	SINGLE	WGS of Mesomycoplasma ovipneumoniae: GH 3-3 genomic DNA
DRR582009	DRX562562	DRS640952	DRP016847	PRJDB17425	Pantoea sp. X-Soil-YNGN-844	X-Soil-YNGN-844	PACBIO_SMRT	Sequel II	613749552	71400	WGS	GENOMIC	SINGLE	Soil-X4-844
DRR581942	DRX562495	DRS640940	DRP016847	PRJDB17425	Type-C symbiont of Plautia stali	C-Plst-OERB-151	PACBIO_SMRT	Sequel II	661193096	70285	WGS	GENOMIC	SINGLE	Plst-SymC-151
DRR582007	DRX562560	DRS640950	DRP016847	PRJDB17425	Pantoea sp. X-Soil-MYKO-1785	X-Soil-MYKO-1785	PACBIO_SMRT	Sequel II	561255196	63896	WGS	GENOMIC	SINGLE	Soil-X10-1785
