srr_accession	srx_accession	srs_accession	srp_accession	bioproject	organism	strain	platform	instrument	total_bases	total_spots	library_strategy	library_source	library_layout	title
SRR15989041	SRX12277826	SRS9999343	SRP357537	PRJNA801416	Escherichia coli	E167	OXFORD_NANOPORE	GridION	1547978286.0	168967.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989042	SRX12277825	SRS9999342	SRP357537	PRJNA801416	Klebsiella pneumoniae	978	OXFORD_NANOPORE	GridION	1592868825.0	158879.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989043	SRX12277824	SRS9998566	SRP357537	PRJNA801416	Enterobacter cloacae	93	OXFORD_NANOPORE	GridION	606358891.0	112263.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989044	SRX12277823	SRS9998565	SRP357537	PRJNA801416	Enterobacter cloacae	145	OXFORD_NANOPORE	GridION	616920878.0	87494.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989045	SRX12277822	SRS9999340	SRP357537	PRJNA801416	Klebsiella pneumoniae	792	OXFORD_NANOPORE	GridION	1426430393.0	215198.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989046	SRX12277821	SRS9998564	SRP357537	PRJNA801416	Klebsiella pneumoniae	E161	OXFORD_NANOPORE	GridION	296724163.0	40850.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989047	SRX12277820	SRS9998563	SRP357537	PRJNA801416	Enterobacter cloacae	850	OXFORD_NANOPORE	GridION	859075448.0	145232.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989048	SRX12277819	SRS9999338	SRP357537	PRJNA801416	Klebsiella pneumoniae	17	OXFORD_NANOPORE	GridION	1434809988.0	158352.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989049	SRX12277818	SRS9999322	SRP357537	PRJNA801416	Enterobacter cloacae	E16	OXFORD_NANOPORE	GridION	645709957.0	120045.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989050	SRX12277817	SRS9998552	SRP357534	PRJNA801415	Klebsiella pneumoniae	15	OXFORD_NANOPORE	GridION	3318606146.0	634852.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989051	SRX12277816	SRS9998551	SRP357537	PRJNA801416	Escherichia coli	38	OXFORD_NANOPORE	GridION	507663466.0	83130.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989052	SRX12277815	SRS9998550	SRP357534	PRJNA801415	Escherichia coli	38	OXFORD_NANOPORE	GridION	1200628305.0	306897.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989053	SRX12277814	SRS9998549	SRP357537	PRJNA801416	Klebsiella pneumoniae	15	OXFORD_NANOPORE	GridION	2577761419.0	300605.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989054	SRX12277813	SRS9998548	SRP357537	PRJNA801416	Klebsiella quasipneumoniae	E152	OXFORD_NANOPORE	GridION	276222165.0	35800.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989055	SRX12277812	SRS9999320	SRP357537	PRJNA801416	Enterobacter cloacae	93	OXFORD_NANOPORE	GridION	580029931.0	100320.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989056	SRX12277811	SRS9999321	SRP357537	PRJNA801416	Klebsiella pneumoniae	E148	OXFORD_NANOPORE	GridION	662082045.0	97388.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989057	SRX12277810	SRS9998553	SRP357537	PRJNA801416	Klebsiella pneumoniae	E147	OXFORD_NANOPORE	GridION	306005041.0	42757.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989058	SRX12277809	SRS9999319	SRP357537	PRJNA801416	Escherichia coli	E144	OXFORD_NANOPORE	GridION	176939670.0	26263.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989059	SRX12277808	SRS9999318	SRP357537	PRJNA801416	Citrobacter freundii	91	OXFORD_NANOPORE	GridION	1442788840.0	166535.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989060	SRX12277807	SRS9998547	SRP357537	PRJNA801416	Enterobacter hormaechei	E143	OXFORD_NANOPORE	GridION	268183384.0	48814.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989061	SRX12277806	SRS9999317	SRP357537	PRJNA801416	Klebsiella pneumoniae	399	OXFORD_NANOPORE	GridION	134335031.0	19847.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989062	SRX12277805	SRS9999316	SRP357537	PRJNA801416	Enterobacter cloacae	93	OXFORD_NANOPORE	GridION	1440246582.0	207551.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989063	SRX12277804	SRS9998546	SRP357537	PRJNA801416	Klebsiella pneumoniae	20	OXFORD_NANOPORE	GridION	721790710.0	101634.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989064	SRX12277803	SRS9999315	SRP357537	PRJNA801416	Klebsiella pneumoniae	133	OXFORD_NANOPORE	GridION	461717809.0	61829.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989065	SRX12277802	SRS9999314	SRP357534	PRJNA801415	Klebsiella pneumoniae	11	OXFORD_NANOPORE	GridION	315575950.0	31486.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989066	SRX12277801	SRS9999313	SRP357537	PRJNA801416	Klebsiella pneumoniae	11	OXFORD_NANOPORE	GridION	513245769.0	69912.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989067	SRX12277800	SRS9999311	SRP357537	PRJNA801416	Escherichia coli	167	OXFORD_NANOPORE	GridION	403766129.0	67246.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989068	SRX12277799	SRS9999312	SRP357537	PRJNA801416	Escherichia coli	167	OXFORD_NANOPORE	GridION	485801247.0	71209.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989069	SRX12277798	SRS9998545	SRP357537	PRJNA801416	Enterobacter cloacae	93	OXFORD_NANOPORE	GridION	1796765951.0	241841.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989070	SRX12277797	SRS9999310	SRP357537	PRJNA801416	Escherichia coli	410	OXFORD_NANOPORE	GridION	1361252263.0	336585.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989071	SRX12277796	SRS9999309	SRP357537	PRJNA801416	Escherichia coli	877	OXFORD_NANOPORE	GridION	441226293.0	31366.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989072	SRX12277795	SRS9999308	SRP357537	PRJNA801416	Citrobacter freundii	-	OXFORD_NANOPORE	GridION	644078130.0	109414.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989073	SRX12277794	SRS9999305	SRP357537	PRJNA801416	Escherichia coli	38	OXFORD_NANOPORE	GridION	1711879850.0	289025.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989074	SRX12277793	SRS9999306	SRP357534	PRJNA801415	Enterobacter cloacae	738	OXFORD_NANOPORE	GridION	4473381984.0	1018836.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989075	SRX12277792	SRS9999304	SRP357534	PRJNA801415	Klebsiella pneumoniae	14	OXFORD_NANOPORE	GridION	1444667727.0	153078.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989076	SRX12277791	SRS9999167	SRP357537	PRJNA801416	Enterobacter asburiae	E1241	OXFORD_NANOPORE	GridION	269878746.0	50068.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989077	SRX12277790	SRS9999165	SRP357534	PRJNA801415	Klebsiella pneumoniae	1547	OXFORD_NANOPORE	GridION	192753318.0	31451.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989078	SRX12277789	SRS9999166	SRP357537	PRJNA801416	Enterobacter cloacae	-	OXFORD_NANOPORE	GridION	168681474.0	18979.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989079	SRX12277788	SRS9999162	SRP357537	PRJNA801416	Klebsiella pneumoniae	14	OXFORD_NANOPORE	GridION	63752870.0	5529.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989080	SRX12277787	SRS9999164	SRP357537	PRJNA801416	Escherichia coli	E1234	OXFORD_NANOPORE	GridION	222309106.0	32533.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989081	SRX12277786	SRS9999163	SRP357537	PRJNA801416	Klebsiella pneumoniae	E1022	OXFORD_NANOPORE	GridION	2372723052.0	337147.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989082	SRX12277785	SRS9999161	SRP357537	PRJNA801416	Escherichia coli	E1233	OXFORD_NANOPORE	GridION	495501663.0	67943.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989083	SRX12277784	SRS9999159	SRP357534	PRJNA801415	Klebsiella pneumoniae	273	OXFORD_NANOPORE	GridION	913660773.0	152631.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989084	SRX12277783	SRS9999160	SRP357534	PRJNA801415	Escherichia coli	405	OXFORD_NANOPORE	GridION	689109692.0	93200.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989085	SRX12277782	SRS9999172	SRP357537	PRJNA801416	Klebsiella pneumoniae	1308	OXFORD_NANOPORE	GridION	171331512.0	23224.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989086	SRX12277781	SRS9999158	SRP357537	PRJNA801416	Klebsiella pneumoniae	14	OXFORD_NANOPORE	GridION	616908769.0	72658.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989087	SRX12277780	SRS9999157	SRP357534	PRJNA801415	Klebsiella pneumoniae	14	OXFORD_NANOPORE	GridION	1243305261.0	143359.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989088	SRX12277779	SRS9999156	SRP357537	PRJNA801416	Enterobacter asburiae	E1214	OXFORD_NANOPORE	GridION	1861552110.0	174578.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989089	SRX12277778	SRS9999155	SRP357537	PRJNA801416	Escherichia coli	E1213	OXFORD_NANOPORE	GridION	737487448.0	74203.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989090	SRX12277777	SRS9999153	SRP357537	PRJNA801416	Klebsiella pneumoniae	E1212	OXFORD_NANOPORE	GridION	897145526.0	79251.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989091	SRX12277776	SRS9999154	SRP357537	PRJNA801416	Escherichia coli	E1211	OXFORD_NANOPORE	GridION	701170214.0	75025.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989092	SRX12277775	SRS9999152	SRP357534	PRJNA801415	Klebsiella pneumoniae	841	OXFORD_NANOPORE	GridION	112629307.0	8641.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989093	SRX12277774	SRS9999150	SRP357537	PRJNA801416	Escherichia coli	E1210	OXFORD_NANOPORE	GridION	368433284.0	51345.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989094	SRX12277773	SRS9999151	SRP357537	PRJNA801416	Citrobacter freundii	E121	OXFORD_NANOPORE	GridION	395998219.0	71712.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989095	SRX12277772	SRS9999148	SRP357537	PRJNA801416	Escherichia coli	E1209	OXFORD_NANOPORE	GridION	784671324.0	92173.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989096	SRX12277771	SRS9999149	SRP357537	PRJNA801416	Klebsiella pneumoniae	E1208	OXFORD_NANOPORE	GridION	1506661989.0	176348.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989097	SRX12277770	SRS9999147	SRP357537	PRJNA801416	Escherichia coli	405	OXFORD_NANOPORE	GridION	50244530.0	4963.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989098	SRX12277769	SRS9999146	SRP357537	PRJNA801416	Klebsiella pneumoniae	14	OXFORD_NANOPORE	GridION	81081414.0	7031.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989099	SRX12277768	SRS9999145	SRP357537	PRJNA801416	Klebsiella pneumoniae	14	OXFORD_NANOPORE	GridION	15214853.0	1403.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989100	SRX12277767	SRS9999046	SRP357537	PRJNA801416	Klebsiella pneumoniae	14	OXFORD_NANOPORE	GridION	1000541506.0	90717.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989101	SRX12277766	SRS9999045	SRP357537	PRJNA801416	Klebsiella pneumoniae	1308	OXFORD_NANOPORE	GridION	950996088.0	93129.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
