srr_accession	srx_accession	srs_accession	srp_accession	bioproject	organism	strain	platform	instrument	total_bases	total_spots	library_strategy	library_source	library_layout	title
SRR37217352	SRX32153252	SRS28084940	SRP676787	PRJNA1423018	Lacticaseibacillus paracasei	ATABAY-TRLp01	OXFORD_NANOPORE	MinION	209741019.0	55779.0	WGS	GENOMIC	SINGLE	Whole genome sequencing of Lacticaseibacillus paracasei ATABAY-TRLp01
SRR37216114	SRX32152046	SRS28083732	SRP676757	PRJNA1423039	Lacticaseibacillus paracasei	ATABAY-TRLp02	OXFORD_NANOPORE	MinION	465775745.0	145384.0	WGS	GENOMIC	SINGLE	Whole genome sequencing of Lacticaseibacillus paracasei ATABAY-TRLp02
SRR37212159	SRX32148220	SRS28080208	SRP676645	PRJNA1422863	Escherichia coli	DH5alpha	OXFORD_NANOPORE	MinION	6107111.0	2150.0	WGS	GENOMIC	SINGLE	Raw whole-plasmid sequencing reads of cyto-Hyper7-T7-BspQI
SRR37212160	SRX32148219	SRS28080207	SRP676645	PRJNA1422863	Escherichia coli	DH5alpha	OXFORD_NANOPORE	MinION	10151893.0	3801.0	WGS	GENOMIC	SINGLE	Raw whole-plasmid sequencing reads of mtHyper7-T7-BspQI
SRR37212161	SRX32148218	SRS28080206	SRP676645	PRJNA1422863	Escherichia coli	DH5alpha	OXFORD_NANOPORE	MinION	14735553.0	5073.0	WGS	GENOMIC	SINGLE	Raw whole-plasmid sequencing reads of mtiATP-T7-BspQI
SRR37212162	SRX32148217	SRS28080205	SRP676645	PRJNA1422863	Escherichia coli	DH5alpha	OXFORD_NANOPORE	MinION	11810252.0	4924.0	WGS	GENOMIC	SINGLE	Raw whole-plasmid sequencing reads of mtKeima-T7-BspQI
SRR37212163	SRX32148216	SRS28080204	SRP676645	PRJNA1422863	Escherichia coli	DH5alpha	OXFORD_NANOPORE	MinION	11495400.0	4495.0	WGS	GENOMIC	SINGLE	Raw whole-plasmid sequencing reads of Golgi-TagBFP-T7-BspQI
SRR37212164	SRX32148215	SRS28080203	SRP676645	PRJNA1422863	Escherichia coli	DH5alpha	OXFORD_NANOPORE	MinION	6514560.0	2708.0	WGS	GENOMIC	SINGLE	Raw whole-plasmid sequencing reads of mCherry-mito-7-T7-BspQI
SRR37212165	SRX32148214	SRS28080202	SRP676645	PRJNA1422863	Escherichia coli	DH5alpha	OXFORD_NANOPORE	MinION	5335926.0	2042.0	WGS	GENOMIC	SINGLE	Raw whole-plasmid sequencing reads of ERmoxGFP-T7-BspQI
SRR37211497	SRX32147551	SRS28079566	SRP676630	PRJNA1043391	Streptomyces sp. KHY 26	KHY 26	OXFORD_NANOPORE	GridION	4892954768.0	318901.0	WGS	GENOMIC	SINGLE	WGS (Oxford Nanopore, single-end) of Streptomyces sp. : isolate KHY 26, genomic DNA
SRR37196604	SRX32133833	SRS28066450	SRP676278	PRJNA547625	Pseudomonas aeruginosa	PA-NM-086	OXFORD_NANOPORE	MinION	1539395841.0	102761.0	WGS	GENOMIC	SINGLE	WGS of Pseudomonas aeruginosa PA-NM-086 long reads
SRR37184038	SRX32121819	SRS28054779	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2023005663	OXFORD_NANOPORE	MinION	637893145.0	66490.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184039	SRX32121818	SRS28054778	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2023005640	OXFORD_NANOPORE	MinION	793275848.0	89663.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184040	SRX32121817	SRS28054777	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2023005619	OXFORD_NANOPORE	MinION	676720567.0	79374.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184041	SRX32121816	SRS28054776	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2023005581	OXFORD_NANOPORE	MinION	655532563.0	76806.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184044	SRX32121813	SRS28054773	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2023005560	OXFORD_NANOPORE	MinION	511590946.0	63787.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184055	SRX32121802	SRS28054762	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2023005497	OXFORD_NANOPORE	MinION	473057960.0	61486.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184064	SRX32121793	SRS28054753	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005460	OXFORD_NANOPORE	MinION	374606465.0	45567.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184065	SRX32121792	SRS28054752	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005406	OXFORD_NANOPORE	MinION	707344489.0	97719.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184066	SRX32121791	SRS28054750	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2023005445	OXFORD_NANOPORE	MinION	591469891.0	82001.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184067	SRX32121790	SRS28054751	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005393	OXFORD_NANOPORE	MinION	745556547.0	74711.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184068	SRX32121789	SRS28054749	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005307	OXFORD_NANOPORE	MinION	505161350.0	58035.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184069	SRX32121788	SRS28054748	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005304	OXFORD_NANOPORE	MinION	491659119.0	55917.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184070	SRX32121787	SRS28054747	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005248	OXFORD_NANOPORE	MinION	220810850.0	25521.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184071	SRX32121786	SRS28054746	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005244	OXFORD_NANOPORE	MinION	862281453.0	88462.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184072	SRX32121785	SRS28054745	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005238	OXFORD_NANOPORE	MinION	792718610.0	95764.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184073	SRX32121784	SRS28054744	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005181	OXFORD_NANOPORE	MinION	522475420.0	56864.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184074	SRX32121783	SRS28054743	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005170	OXFORD_NANOPORE	MinION	456911427.0	49187.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184075	SRX32121782	SRS28054742	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005162	OXFORD_NANOPORE	MinION	528687362.0	74099.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184076	SRX32121781	SRS28054741	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005124	OXFORD_NANOPORE	MinION	519066552.0	48127.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184077	SRX32121780	SRS28054740	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2022006260	OXFORD_NANOPORE	MinION	465829020.0	61069.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184078	SRX32121779	SRS28054739	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005107	OXFORD_NANOPORE	MinION	765537084.0	86931.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184079	SRX32121778	SRS28054738	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005104	OXFORD_NANOPORE	MinION	444438568.0	57827.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184080	SRX32121777	SRS28054737	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005049	OXFORD_NANOPORE	MinION	599470794.0	73970.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184081	SRX32121776	SRS28054736	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005048	OXFORD_NANOPORE	MinION	557081943.0	67536.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184082	SRX32121775	SRS28054735	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005039	OXFORD_NANOPORE	MinION	639862653.0	87939.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184083	SRX32121774	SRS28054734	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005032	OXFORD_NANOPORE	MinION	559706014.0	100810.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184084	SRX32121773	SRS28054733	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005002	OXFORD_NANOPORE	MinION	1066912775.0	378722.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184085	SRX32121772	SRS28054732	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2023006501	OXFORD_NANOPORE	MinION	979869624.0	107093.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184086	SRX32121771	SRS28054731	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2023005726	OXFORD_NANOPORE	MinION	501417428.0	64305.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184087	SRX32121770	SRS28054730	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2023005708	OXFORD_NANOPORE	MinION	1000413153.0	108824.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184088	SRX32121769	SRS28054729	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2022006141	OXFORD_NANOPORE	MinION	219737509.0	27295.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184089	SRX32121768	SRS28054728	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2022006053	OXFORD_NANOPORE	MinION	481005884.0	66539.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37182836	SRX32120567	SRS28053527	SRP676026	PRJNA1420451	Limnothrix sp. CMB-01	CMB-01	OXFORD_NANOPORE	PromethION	1006629306.0	95402.0	WGS	GENOMIC	SINGLE	DNA-Seq of Limnothrix
SRR37176304	SRX32115231	SRS27962578	SRP674034	PRJNA1333436	Cryobacterium sp. AP23	AP23	OXFORD_NANOPORE	GridION	142351732.0	50732.0	WGS	GENOMIC	SINGLE	Cryobacterium sp. AP23
SRR37168510	SRX32108111	SRS28041600	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	1757073.0	1125.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate LD8_0500_phi3
SRR37168511	SRX32108110	SRS28041599	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	4573236.0	2859.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate LD8_0500_phi2
SRR37168512	SRX32108109	SRS28041598	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	2520217.0	1436.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate LD8_0500_phi1
SRR37168514	SRX32108107	SRS28041595	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	3569060.0	2193.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate LD8_0250_phi3
SRR37168515	SRX32108106	SRS28041597	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	2326826.0	1388.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate LD8_0250_phi2
SRR37168516	SRX32108105	SRS28041594	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	4077926.0	2799.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate LD8_0250_phi1
SRR37168517	SRX32108104	SRS28041592	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	1700570.0	1611.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate LD6_0500_phi3
SRR37168518	SRX32108103	SRS28041593	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	2091140.0	1649.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate LD6_0500_phi2
SRR37168519	SRX32108102	SRS28041591	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	2108878.0	1968.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate LD6_0500_phi1
SRR37168520	SRX32108101	SRS28041590	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	2246373.0	2066.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate LD6_0250_phi3
SRR37168521	SRX32108100	SRS28041589	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	1223242.0	1305.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate LD6_0250_phi2
SRR37168522	SRX32108099	SRS28041585	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	2241115.0	2282.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate LD6_0250_phi1
SRR37168523	SRX32108098	SRS28041586	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	6259500.0	2260.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate HD7_1000_phi3
SRR37168525	SRX32108096	SRS28041587	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	6355834.0	2409.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate HD7_1000_phi2
SRR37168526	SRX32108095	SRS28041584	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	8656527.0	3000.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate HD7_1000_phi1
SRR37168527	SRX32108094	SRS28041583	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	2115279.0	1106.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate HD7_0750_phi3
SRR37168528	SRX32108093	SRS28041582	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	3436686.0	1094.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate HD7_0750_phi2
SRR37168529	SRX32108092	SRS28041580	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	1905984.0	1143.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate HD7_0750_phi1
SRR37168530	SRX32108091	SRS28041581	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	5419476.0	2245.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate HD7_0500_phi3
SRR37168531	SRX32108090	SRS28041579	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	6182517.0	2510.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate HD7_0500_phi2
SRR37168532	SRX32108089	SRS28041578	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	4584529.0	1660.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate HD7_0500_phi1
SRR37168533	SRX32108088	SRS28041577	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	7396639.0	3000.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate HD7_0250_phi3
SRR37168534	SRX32108087	SRS28041576	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	4586963.0	1851.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate HD7_0250_phi2
SRR37168536	SRX32108085	SRS28041573	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	6317050.0	2626.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate HD7_0250_phi1
SRR37168537	SRX32108084	SRS28041575	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	5909509.0	2674.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate HD1_0750_phi2
SRR37168538	SRX32108083	SRS28041572	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	3868118.0	1762.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate HD1_0750_phi1
SRR37168539	SRX32108082	SRS28041570	SRP675690	PRJNA1420075	Pseudomonas aeruginosa		OXFORD_NANOPORE	PromethION	1634618.0	1166.0	WGS	GENOMIC	SINGLE	DNA-Seq: Pf6: Isolate HD1_0500_phi1
ERR16656002	ERX16046374	ERS28794515	ERP188609	PRJEB107717	Ralstonia pseudosolanacearum		OXFORD_NANOPORE	MinION			WGS	GENOMIC	SINGLE	Raw reads: Rs_F1C1_Nanopore_reads
ERR16080324	ERX15470112	ERS28438705	ERP187240	PRJEB106135	Enterococcus faecium	3438510959	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_21_3438510959_ONT_P2_solo
ERR16080334	ERX15470122	ERS28438710	ERP187240	PRJEB106135	Enterococcus faecium	3428845596	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_26_3428845596_ONT_P2_solo
ERR16080318	ERX15470106	ERS28438702	ERP187240	PRJEB106135	Enterococcus faecium	3450528237	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_18_3450528237_ONT_P2_solo
ERR16080316	ERX15470104	ERS28438701	ERP187240	PRJEB106135	Enterococcus faecium	3445974891	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_17_3445974891_ONT_P2_solo
ERR16080338	ERX15470126	ERS28438712	ERP187240	PRJEB106135	Enterococcus faecium	3432462734	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_28_3432462734_ONT_P2_solo
ERR16080326	ERX15470114	ERS28438706	ERP187240	PRJEB106135	Enterococcus faecium	3412172796	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_22_3412172796_ONT_P2_solo
ERR16080306	ERX15470094	ERS28438696	ERP187240	PRJEB106135	Enterococcus faecium	3442243608	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_12_3442243608_ONT_P2_solo
ERR16080312	ERX15470100	ERS28438699	ERP187240	PRJEB106135	Enterococcus faecium	3417976438	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_15_3417976438_ONT_P2_solo
ERR16080340	ERX15470128	ERS28438713	ERP187240	PRJEB106135	Enterococcus faecium	3440819963	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_29_3440819963_ONT_P2_solo
ERR16080298	ERX15470086	ERS28438692	ERP187240	PRJEB106135	Enterococcus faecium	2271127527	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_08_2271127527_ONT_P2_solo
ERR16080283	ERX15470071	ERS28438685	ERP187240	PRJEB106135	Enterococcus faecalis	3443174826	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_01_3443174826_ONT_P2_solo
ERR16080336	ERX15470124	ERS28438711	ERP187240	PRJEB106135	Enterococcus faecium	3441387892	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_27_3441387892_ONT_P2_solo
ERR16080287	ERX15470075	ERS28438687	ERP187240	PRJEB106135	Enterococcus faecium	3411305923	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_03_3411305923_ONT_P2_solo
ERR16080302	ERX15470090	ERS28438694	ERP187240	PRJEB106135	Enterococcus faecium	3451008941	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_10_3451008941_ONT_P2_solo
ERR16080328	ERX15470116	ERS28438707	ERP187240	PRJEB106135	Enterococcus faecium	3409472001	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_23_3409472001_ONT_P2_solo
ERR16080310	ERX15470098	ERS28438698	ERP187240	PRJEB106135	Enterococcus faecium	3425898262	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_14_3425898262_ONT_P2_solo
ERR16080295	ERX15470083	ERS28438691	ERP187240	PRJEB106135	Enterococcus faecium	2282733272	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_07_2282733272_ONT_P2_solo
ERR16080320	ERX15470108	ERS28438703	ERP187240	PRJEB106135	Enterococcus faecium	3444977060	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_19_3444977060_ONT_P2_solo
ERR16080291	ERX15470079	ERS28438689	ERP187240	PRJEB106135	Enterococcus faecium	3431973884	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_05_3431973884_ONT_P2_solo
ERR16080314	ERX15470102	ERS28438700	ERP187240	PRJEB106135	Enterococcus faecium	3417667083	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_16_3417667083_ONT_P2_solo
ERR16080332	ERX15470120	ERS28438709	ERP187240	PRJEB106135	Enterococcus faecium	3451984120	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_25_3451984120_ONT_P2_solo
ERR16080322	ERX15470110	ERS28438704	ERP187240	PRJEB106135	Enterococcus faecium	3440814320	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_20_3440814320_ONT_P2_solo
ERR16080304	ERX15470092	ERS28438695	ERP187240	PRJEB106135	Enterococcus faecium	3443663143	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_11_3443663143_ONT_P2_solo
ERR16080330	ERX15470118	ERS28438708	ERP187240	PRJEB106135	Enterococcus faecium	3452078712	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_24_3452078712_ONT_P2_solo
ERR16080300	ERX15470088	ERS28438693	ERP187240	PRJEB106135	Enterococcus faecium	2268169733	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_09_2268169733_ONT_P2_solo
ERR16080293	ERX15470081	ERS28438690	ERP187240	PRJEB106135	Enterococcus faecium	3443897792	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_06_3443897792_ONT_P2_solo
ERR16080308	ERX15470096	ERS28438697	ERP187240	PRJEB106135	Enterococcus faecium	3428247985	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_13_3428247985_ONT_P2_solo
ERR16080285	ERX15470073	ERS28438686	ERP187240	PRJEB106135	Enterococcus faecium	3404644014	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_02_3404644014_ONT_P2_solo
ERR16080289	ERX15470077	ERS28438688	ERP187240	PRJEB106135	Enterococcus faecium	3427749978	OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Raw reads: LRE_04_3427749978_ONT_P2_solo
SRR37154521	SRX32094283	SRS28028591	SRP675422	PRJNA1420208	Streptococcus pyogenes	DJR5XW	OXFORD_NANOPORE	GridION	846679993.0	204173.0	WGS	GENOMIC	SINGLE	Nanopore sequencing of group A Streptococcus isolate
SRR37153935	SRX32093698	SRS28022086	SRP675278	PRJNA1336800	Pseudomonas kurunegalensis	ANKC.G2	OXFORD_NANOPORE	MinION	312165505.0	74929.0	WGS	GENOMIC	SINGLE	Genome of Pseudomonas kurunegalensis strain chylan
SRR37153936	SRX32093697	SRS28022085	SRP675278	PRJNA1336800	Bacillus thuringiensis	berliner	OXFORD_NANOPORE	MinION	1232951419.0	218682.0	WGS	GENOMIC	SINGLE	Genome of Bacillus thuringiensis strain akera
SRR37153304	SRX32093066	SRS28027449	SRP675391	PRJNA1402684	Komagataeibacter oboediens	KKO	OXFORD_NANOPORE	MinION	1287574938.0	200153.0	WGS	GENOMIC	SINGLE	WGS of Komagataeibacter oboediens KKO
SRR37151497	SRX32091258	SRS28025911	SRP675359	PRJNA1419809	Pectobacterium brasiliense	25ASUB12	OXFORD_NANOPORE	PromethION	648198289.0	216564.0	WGS	GENOMIC	SINGLE	Oxford Nanopore raw reads of Pectobacterium brasiliense strain 25ASUB12
ERR16255380	ERX15644805	ERS28645251	ERP188321	PRJEB107302	uncultured bacterium	wRi	OXFORD_NANOPORE	MinION			WGS	GENOMIC	SINGLE	Raw reads: wRi_Merrill_23_nanopore_run1
SRR37144672	SRX32085999	SRS28021112	SRP563534	PRJNA1222943	Stenotrophomonas maltophilia	So3_HCA6	OXFORD_NANOPORE	PromethION	525776833.0	146516.0	WGS	GENOMIC	SINGLE	So3_HCA6 Nanopore
SRR37144674	SRX32085997	SRS28021111	SRP563534	PRJNA1222943	Bacillus licheniformis	So3_44	OXFORD_NANOPORE	PromethION	676014540.0	285563.0	WGS	GENOMIC	SINGLE	So3_44 Nanopore
SRR37144676	SRX32085995	SRS28021110	SRP563534	PRJNA1222943	Achromobacter spanius	So2_10a	OXFORD_NANOPORE	PromethION	1262575082.0	378660.0	WGS	GENOMIC	SINGLE	So2_10a Nanopore
SRR37144678	SRX32085993	SRS28021109	SRP563534	PRJNA1222943	Cellulosimicrobium sp. So1_17	So1_17	OXFORD_NANOPORE	PromethION	1911754872.0	428770.0	WGS	GENOMIC	SINGLE	So1_17 Nanopore
SRR37143991	SRX32085340	SRS28020497	SRP675216	PRJNA1184187	Lysinibacillus fusiformis	YT41	OXFORD_NANOPORE	MinION	1278440220.0	232110.0	WGS	GENOMIC	SINGLE	Oxford Nanopore sequencing of Lysinibacillus fusiformis strain YT41
ERR16121721	ERX15511283	ERS28447460	ERP186608	PRJEB105405	Lentilactobacillus parabuchneri		OXFORD_NANOPORE	MinION			WGS	GENOMIC	SINGLE	Raw reads: MCF_B10_Nanopore
